,800,830,900,1000,1100,1200,1300,1400,1500,1600,1700,interval1,interval2,night,1800,100,700,1330,600,1530,1830,2200,1630,intervala,intervalb,intervalc,intervald,1130,1430,1730,1900,intervale,intervalf,1315,845,1015,1030,1045,1615,2030,2230,5pma,5pmb,noona,noonb,930,1515,1545,0,1230,1410,interval,0900_transcribed,1000_transcribed,1600_transcribed,interval1_transcribed,interval2_transcribed,0900_hospital,1500_hospital
1830-06-24,,,13.056,,,,,,17.222,,,10.278,17.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-25,,,10.833,,,15.556,,,18.333,,,11.389,19.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-26,,,13.333,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-27,,,18.889,,,,,,13.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-28,,,13.056,,,,,,16.944,,,18.611,5.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-29,,,12.778,,,,,,16.667,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-06-30,,,7.222,,,,,,17.778,,,18.056,8.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-01,,,10.278,,,,,,12.5,,,13.333,8.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-02,,,11.111,,,,,,11.389,,,12.222,3.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-03,,,3.889,,,,,,12.222,,,15.556,8.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-05,,,11.944,,,,,,11.944,,,12.222,6.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-06,,,11.389,,,,,,14.444,,,10.833,14.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-07,,,11.667,,,,,,15.556,,,16.111,13.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-08,,,13.611,,,,,,13.889,,,14.444,8.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-09,,,9.444,,,,,,13.333,,,13.611,4.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-10,,,6.667,,,12.222,,,13.333,,,3.333,9.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-11,,,10.833,,,,,,,,,3.056,14.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-12,,,7.5,,,,,,10.278,,,5.556,14.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-13,,,9.444,,,10.556,,,10.278,,,9.167,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-14,,,12.222,,,16.389,,,17.5,,,11.944,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-15,,,13.056,,,14.444,,,15.833,,,16.667,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-16,,,12.5,,,12.5,,,12.778,,,18.333,3.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-17,,,10.556,,,10.833,,,11.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-18,,,,,,,,,,,,12.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-19,,,6.389,,,13.889,,,13.889,,,13.889,5.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-20,,,6.667,,,12.222,,,13.056,,,13.889,5.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-21,,,11.667,,,13.889,,,14.444,,,15,11.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-22,,,11.944,,,12.778,,,12.5,,,12.778,5.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-23,,,6.111,,,10.833,,,12.222,,,12.778,2.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-24,,,3.889,,,12.222,,,12.778,,,16.111,12.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-26,,,11.111,,,14.722,,,15,,,9.444,15.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-27,,,10.278,,,,,,16.111,,,16.389,11.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-28,,,13.056,,,12.778,,,13.333,,,8.889,12.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-29,,,9.722,,,15,,,15.278,,,16.389,6.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-30,,,8.611,,,14.722,,,15.556,,,16.111,5.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-07-31,,,7.222,,,,,,15,,,4.444,17.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-02,,,7.5,,,15.833,,,16.389,,,17.778,3.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-03,,,6.389,,,15,,,15.556,,,18.333,5.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-04,,,7.222,,,,,,16.389,,,16.944,10.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-05,,,10.833,,,,,,14.444,,,15.556,12.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-06,,,12.778,,,15.556,,,16.389,,,16.389,9.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-07,,,10.833,,,,,,11.667,,,15.278,4.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-09,,,,,,14.444,,,14.722,,,15.556,4.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-10,,,12.222,,,,,,15,,,10,9.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-11,,,10.833,,,,,,16.389,,,17.222,10.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-12,,,12.778,,,,,,13.333,,,14.167,8.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-13,,,8.889,,,13.333,,,15,,,15.556,11.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-14,,,12.778,,,,,,15.556,,,17.778,11.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830-08-16,,,12.917,,,,,,16.111,,,16.667,9.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
